path,asset_class,language,bytes,loc,tracked,dependency_graph_included
test/web_persistence/test_file_output_persistence.py,test,py,5277,128,True,True
test/web_persistence/test_identity_self_service.py,test,py,8572,209,True,True
test/web_persistence/test_memory_retention.py,test,py,4714,120,True,True
test/web_persistence/test_outbox_and_lifecycle.py,test,py,20115,493,True,True
test/web_persistence/test_permissions.py,test,py,3035,71,True,True
test/web_persistence/test_persistent_web_files.py,test,py,11007,246,True,True
test/web_persistence/test_phase_a_hardening.py,test,py,18189,448,True,True
test/web_persistence/test_phase_a_invariants.py,test,py,15550,380,True,True
test/web_persistence/test_phase_c_context.py,test,py,2984,66,True,True
test/web_persistence/test_phase_c_sessions.py,test,py,2310,57,True,True
test/web_persistence/test_postgres_account_service.py,test,py,4246,109,True,True
test/web_persistence/test_research_r0_r2.py,test,py,20359,462,True,True
test/web_persistence/test_research_schedule_temporal_integration.py,test,py,3443,90,True,True
test/web_persistence/test_run_budget.py,test,py,5984,167,True,True
test/web_persistence/test_schema_contract.py,test,py,3465,51,True,True
test/web_persistence/test_web_artifacts.py,test,py,7752,194,True,True
test/web_persistence/test_web_temporal_e2e.py,test,py,5418,146,True,True
test/web_persistence/test_web_temporal_lifecycle.py,test,py,2593,76,True,True
test/web_persistence/test_workspace_provisioning_integration.py,test,py,5306,155,True,True
tools/examples/daily_report.prototype.yaml,operations_development,yaml,388,11,True,False
tools/skills/pdf-processing/SKILL.md,operations_development,md,1289,36,True,False
web/.dockerignore,frontend_build,text,181,9,True,False
web/.gitignore,frontend_build,text,253,20,True,False
web/.npmrc,frontend_build,text,238,6,True,False
web/.prettierignore,frontend_build,text,45,4,True,False
web/.prettierrc.json,frontend_build,json,132,8,True,False
web/Dockerfile,deployment_configuration,text,681,26,True,False
web/e2e/a11y.spec.ts,test,ts,1672,33,True,True
web/e2e/artifact.spec.ts,test,ts,1220,26,True,True
web/e2e/auth.spec.ts,test,ts,2655,55,True,True
web/e2e/conversation.spec.ts,test,ts,1031,31,True,True
web/e2e/disconnect.spec.ts,test,ts,1171,27,True,True
web/e2e/f4-approval.spec.ts,test,ts,4471,103,True,True
web/e2e/helpers.ts,test,ts,2566,57,True,True
web/e2e/markdown.spec.ts,test,ts,1169,33,True,True
web/e2e/multi-tab.spec.ts,test,ts,2407,60,True,True
web/e2e/stop-retry.spec.ts,test,ts,1165,30,True,True
web/eslint.config.js,frontend_build,js,747,25,True,True
web/index.html,frontend_build,html,297,12,True,False
