path,symbol,operation,resource,evidence,method
src/persistence/repositories.py,MessageRepository.insert_user,INSERT INTO,messages,src/persistence/repositories.py:88,SQL_LITERAL
src/persistence/repositories.py,MessageRepository.insert_assistant,INSERT INTO,messages,src/persistence/repositories.py:98,SQL_LITERAL
src/persistence/repositories.py,MessageRepository.set_terminal,UPDATE,messages,src/persistence/repositories.py:107,SQL_LITERAL
src/persistence/repositories.py,RunRepository.insert,INSERT INTO,runs,src/persistence/repositories.py:176,SQL_LITERAL
src/persistence/repositories.py,RunRepository.set_cancelling,UPDATE,runs,src/persistence/repositories.py:185,SQL_LITERAL
src/persistence/repositories.py,RunRepository.set_terminal,UPDATE,runs,src/persistence/repositories.py:195,SQL_LITERAL
src/persistence/repositories.py,FileRepository.insert_upload,INSERT INTO,stored_files,src/persistence/repositories.py:223,SQL_LITERAL
src/persistence/repositories.py,FileRepository.mark_rejected,UPDATE,stored_files,src/persistence/repositories.py:254,SQL_LITERAL
src/persistence/repositories.py,FileRepository.copy_retry_inputs,INSERT INTO,run_files,src/persistence/repositories.py:322,SQL_LITERAL
src/persistence/repositories.py,FileRepository.copy_retry_inputs,FROM,run_files,src/persistence/repositories.py:322,SQL_LITERAL
src/persistence/repositories.py,RunBudgetRepository.create_snapshot,INSERT INTO,run_budgets,src/persistence/repositories.py:352,SQL_LITERAL
src/persistence/repositories.py,SessionRepository.get_or_create_active,INSERT INTO,sessions,src/persistence/repositories.py:388,SQL_LITERAL
src/persistence/repositories.py,SessionRepository.create_successor,INSERT INTO,sessions,src/persistence/repositories.py:418,SQL_LITERAL
src/persistence/repositories.py,IdempotencyRepository.complete,UPDATE,idempotency_commands,src/persistence/repositories.py:457,SQL_LITERAL
src/persistence/repositories.py,OutboxRepository.enqueue,INSERT INTO,outbox_events,src/persistence/repositories.py:470,SQL_LITERAL
src/persistence/repositories.py,OutboxRepository.recover_expired,UPDATE,outbox_events,src/persistence/repositories.py:498,SQL_LITERAL
src/persistence/repositories.py,FileRepository.mark_deleted_if_unbound,UPDATE,stored_files,src/persistence/repositories.py:275,SQL_LITERAL
src/persistence/repositories.py,FileRepository.bind_inputs,UPDATE,stored_files,src/persistence/repositories.py:301,SQL_LITERAL
src/persistence/repositories.py,FileRepository.bind_inputs,INSERT INTO,message_files,src/persistence/repositories.py:308,SQL_LITERAL
src/persistence/repositories.py,FileRepository.bind_inputs,INSERT INTO,run_files,src/persistence/repositories.py:313,SQL_LITERAL
src/persistence/repositories.py,ConversationRepository.lock_active,FROM,conversations,src/persistence/repositories.py:32,SQL_LITERAL
src/persistence/repositories.py,MessageRepository.find_initial_by_client_request,FROM,messages,src/persistence/repositories.py:72,SQL_LITERAL
src/persistence/repositories.py,MessageRepository.find_initial_by_client_request,JOIN,runs,src/persistence/repositories.py:72,SQL_LITERAL
src/persistence/repositories.py,MessageRepository.find_initial_by_client_request,JOIN,messages,src/persistence/repositories.py:72,SQL_LITERAL
